time,nb dead,nb package
100,0,250
200,0,250
300,0,250
400,0,250
500,0,250
600,0,250
700,0,250
800,0,250
900,0,250
1000,0,250
1100,0,250
1200,0,250
1300,0,250
1400,0,250
1500,0,250
1600,0,250
1700,0,250
1800,0,250
1900,0,250
2000,0,250
2100,0,250
2200,0,250
2300,0,250
2400,0,250
2500,0,250
2600,0,250
2700,0,250
2800,0,250
2900,0,250
3000,0,250
3100,0,250
3200,0,250
3300,0,250
3400,0,250
3500,0,250
3600,0,250
3700,0,250
3800,0,250
3900,0,250
4000,0,250
4100,0,250
4200,0,250
4300,0,250
4400,0,250
4500,0,250
4600,0,250
4700,0,250
4800,0,250
4900,0,250
5000,0,250
5100,0,250
5200,0,250
5300,0,250
5400,0,250
5500,0,250
5600,0,250
5700,0,250
5800,0,250
5900,0,250
6000,0,250
6100,0,250
6200,0,250
6300,0,250
6400,0,250
6500,0,250
6600,0,250
6700,0,250
6800,0,250
6900,0,250
7000,0,250
7100,0,250
7200,0,250
7300,0,250
7400,0,250
7500,0,250
7600,0,250
7700,0,250
7800,0,250
7900,0,250
8000,0,250
8100,0,250
8200,0,250
8300,0,250
8400,0,250
8500,0,250
8600,0,250
8700,0,250
8800,0,250
8900,0,250
9000,0,250
9100,0,250
9200,0,250
9300,0,250
9400,0,250
9500,0,250
9600,0,250
9700,0,250
9800,0,250
9900,0,250
10000,0,250
10100,0,250
10200,0,250
10300,0,250
10400,0,250
10500,0,250
10600,0,250
10700,0,250
10800,0,250
10900,0,250
11000,0,250
11100,0,250
11200,0,250
11300,0,250
11400,0,250
11500,0,250
11600,0,250
11700,0,250
11800,0,250
11900,0,250
12000,0,250
12100,0,250
12200,0,250
12300,0,250
12400,0,250
12500,0,250
12600,0,250
12700,0,250
12800,0,250
12900,0,250
13000,0,250
13100,0,250
13200,0,250
13300,1,212
13400,1,212
13500,1,212
13600,1,212
13700,1,212
13800,1,212
13900,1,212
14000,1,212
14100,1,212
14200,1,212
14300,1,212
14400,1,212
14500,1,212
14600,1,212
14700,1,212
14800,1,212
14900,1,212
15000,1,212
15100,1,212
15200,1,212
15300,1,212
15400,1,212
15500,1,212
15600,1,212
15700,1,212
15800,1,212
15900,1,212
16000,1,212
16100,1,212
16200,1,212
16300,1,212
16400,1,212
16500,1,212
16600,1,212
16700,1,212
16800,1,212
16900,1,212
17000,1,212
17100,1,212
17200,1,212
17300,1,212
17400,1,212
17500,1,212
17600,1,212
17700,1,212
17800,1,212
17900,1,212
18000,1,212
18100,1,212
18200,1,212
18300,1,212
18400,1,212
18500,1,212
18600,1,212
18700,1,212
18800,1,212
18900,1,212
19000,1,212
19100,2,121
19200,2,121
19300,2,121
19400,2,121
19500,2,121
19600,2,121
19700,2,121
19800,2,121
19900,2,121
20000,2,121
20100,2,121
20200,2,121
20300,2,121
20400,2,121
20500,2,121
20600,2,121
20700,2,121
20800,2,121
20900,2,121
21000,2,121
21100,2,121
21200,2,121
21300,3,121
21400,3,121
21500,3,121
21600,3,121
21700,3,121
21800,3,121
21900,3,121
22000,3,121
22100,3,121
22200,3,121
22300,3,121
22400,3,121
22500,3,121
22600,3,121
22700,3,121
22800,3,121
22900,3,121
23000,3,121
23100,3,121
23200,3,121
23300,3,121
23400,3,121
23500,3,121
23600,3,121
23700,3,121
23800,3,121
23900,3,121
24000,3,121
24100,3,121
24200,3,121
24300,3,121
24400,3,121
24500,3,121
24600,3,121
24700,3,121
24800,3,121
24900,3,121
25000,3,121
25100,3,121
25200,3,121
25300,3,121
25400,3,121
25500,3,121
25600,3,121
25700,3,121
25800,3,121
25900,3,121
26000,3,121
26100,3,121
26200,4,121
26300,4,121
26400,4,121
26500,4,121
26600,4,121
26700,4,121
26800,4,121
26900,4,121
27000,4,121
27100,4,121
27200,4,121
27300,4,121
27400,4,121
27500,4,121
27600,4,121
27700,4,121
27800,4,121
27900,4,121
28000,4,121
28100,4,121
28200,4,121
28300,4,121
28400,4,121
28500,4,121
28600,4,121
28700,4,121
28800,4,121
28900,4,121
29000,4,121
29100,4,121
29200,4,121
29300,4,121
29400,4,121
29500,4,121
29600,4,121
29700,4,121
29800,4,121
29900,4,121
30000,4,121
30100,4,121
30200,4,121
30300,4,121
30400,4,121
30500,4,121
30600,4,121
30700,4,121
30800,4,121
30900,4,121
31000,4,121
31100,4,121
31200,4,121
31300,4,121
31400,4,121
31500,4,121
31600,4,121
31700,4,121
31800,4,121
31900,4,121
32000,4,121
32100,4,121
32200,5,88
32300,5,88
32400,5,88
32500,5,88
32600,5,88
32700,5,88
32800,5,88
32900,5,88
33000,5,88
33100,5,88
33200,5,88
33300,5,88
33400,5,88
33500,5,88
33600,5,88
33700,5,88
33800,5,88
33900,5,88
34000,5,88
34100,5,88
34200,5,88
34300,5,88
34400,5,88
34500,5,88
34600,5,88
34700,5,88
34800,5,88
34900,5,88
35000,5,88
35100,5,88
35200,5,88
35300,5,88
35400,5,88
35500,5,88
35600,5,88
35700,5,88
35800,5,88
35900,6,88
36000,6,88
36100,6,88
36200,6,88
36300,6,88
36400,6,88
36500,6,88
36600,6,88
36700,6,88
36800,6,88
36900,6,88
37000,6,88
37100,6,88
37200,6,88
37300,6,88
37400,6,88
37500,6,88
37600,6,88
37700,6,88
37800,6,88
37900,6,88
38000,6,88
38100,6,88
38200,6,88
38300,6,88
38400,6,88
38500,6,88
38600,6,88
38700,6,88
38800,6,88
38900,6,88
39000,6,88
39100,6,88
39200,6,88
39300,6,88
39400,6,88
39500,6,88
39600,6,88
39700,6,88
39800,6,88
39900,6,88
40000,6,88
40100,6,88
40200,6,88
40300,6,88
40400,6,88
40500,6,88
40600,6,88
40700,6,88
40800,6,88
40900,6,88
41000,6,88
41100,6,88
41200,6,88
41300,6,88
41400,6,88
41500,6,88
41600,6,88
41700,6,88
41800,6,88
41900,6,88
42000,6,88
42100,6,88
42200,6,88
42300,6,88
42400,6,88
42500,6,88
42600,6,88
42700,6,88
42800,6,88
42900,6,88
43000,6,88
43100,6,88
43200,6,88
43300,6,88
43400,6,88
43500,6,88
43600,6,88
43700,6,88
43800,6,88
43900,6,88
44000,6,88
44100,6,88
