time,nb dead,nb package
100,0,300
200,0,300
300,0,300
400,0,300
500,0,300
600,0,300
700,0,300
800,0,300
900,0,300
1000,0,300
1100,0,300
1200,0,300
1300,0,300
1400,0,300
1500,0,300
1600,0,300
1700,0,300
1800,0,300
1900,0,300
2000,0,300
2100,0,300
2200,0,300
2300,0,300
2400,0,300
2500,0,300
2600,0,300
2700,0,300
2800,0,300
2900,0,300
3000,0,300
3100,0,300
3200,0,300
3300,0,300
3400,0,300
3500,0,300
3600,0,300
3700,0,300
3800,0,300
3900,0,300
4000,0,300
4100,0,300
4200,0,300
4300,0,300
4400,0,300
4500,0,300
4600,0,300
4700,0,300
4800,0,300
4900,0,300
5000,0,300
5100,0,300
5200,0,300
5300,0,300
5400,0,300
5500,0,300
5600,0,300
5700,0,300
5800,0,300
5900,0,300
6000,0,300
6100,0,300
6200,0,300
6300,0,300
6400,0,300
6500,0,300
6600,0,300
6700,0,300
6800,0,300
6900,0,300
7000,0,300
7100,0,300
7200,0,300
7300,0,300
7400,0,300
7500,0,300
7600,0,300
7700,0,300
7800,0,300
7900,0,300
8000,0,300
8100,0,300
8200,0,300
8300,0,300
8400,0,300
8500,0,300
8600,0,300
8700,0,300
8800,0,300
8900,0,300
9000,0,300
9100,0,300
9200,0,300
9300,0,300
9400,0,300
9500,0,300
9600,0,300
9700,0,300
9800,0,300
9900,0,300
10000,0,300
10100,0,300
10200,0,300
10300,0,300
10400,0,300
10500,0,300
10600,0,300
10700,0,300
10800,0,300
10900,0,300
11000,0,300
11100,0,300
11200,0,300
11300,0,300
11400,0,300
11500,0,300
11600,0,300
11700,0,300
11800,0,300
11900,0,300
12000,0,300
12100,0,300
12200,0,300
12300,0,300
12400,0,300
12500,0,300
12600,0,300
12700,0,300
12800,0,300
12900,0,300
13000,0,300
13100,0,300
13200,0,300
13300,0,300
13400,0,300
13500,0,300
13600,0,300
13700,0,300
13800,0,300
13900,0,300
14000,0,300
14100,0,300
14200,0,300
14300,0,300
14400,0,300
14500,0,300
14600,0,300
14700,0,300
14800,0,300
14900,0,300
15000,0,300
15100,0,300
15200,0,300
15300,0,300
15400,0,300
15500,0,300
15600,0,300
15700,0,300
15800,0,300
15900,0,300
16000,0,300
16100,0,300
16200,0,300
16300,0,300
16400,0,300
16500,0,300
16600,0,300
16700,0,300
16800,0,300
16900,0,300
17000,0,300
17100,0,300
17200,0,300
17300,0,300
17400,0,300
17500,0,300
17600,0,300
17700,0,300
17800,0,300
17900,0,300
18000,0,300
18100,0,300
18200,0,300
18300,0,300
18400,0,300
18500,0,300
18600,0,300
18700,0,300
18800,0,300
18900,0,300
19000,0,300
19100,0,300
19200,0,300
19300,0,300
19400,0,300
19500,0,300
19600,0,300
19700,0,300
19800,0,300
19900,0,300
20000,0,300
20100,0,300
20200,0,300
20300,0,300
20400,0,300
20500,0,300
20600,0,300
20700,0,300
20800,0,300
20900,0,300
21000,0,300
21100,0,300
21200,0,300
21300,0,300
21400,0,300
21500,0,300
21600,0,300
21700,0,300
21800,0,300
21900,0,300
22000,0,300
22100,0,300
22200,0,300
22300,0,300
22400,0,300
22500,0,300
22600,0,300
22700,0,300
22800,0,300
22900,0,300
23000,1,300
23100,1,300
23200,1,300
23300,1,300
23400,1,300
23500,2,199
23600,2,199
23700,2,199
23800,2,199
23900,2,199
24000,2,199
24100,2,199
24200,2,199
24300,3,121
24400,3,121
24500,3,121
24600,3,121
24700,3,121
24800,3,121
24900,3,121
25000,3,121
25100,3,121
25200,3,121
25300,3,121
25400,3,121
25500,3,121
25600,3,121
25700,3,121
25800,3,121
25900,4,5
26000,4,5
26100,4,5
26200,4,5
26300,4,5
26400,4,5
26500,4,5
26600,4,5
26700,4,5
26800,4,5
26900,4,5
27000,4,5
27100,4,5
27200,4,5
time,nb dead,nb package
100,0,300
200,0,300
300,0,300
400,0,300
500,0,300
600,0,300
700,0,300
800,0,300
900,0,300
1000,0,300
1100,0,300
1200,0,300
1300,0,300
1400,0,300
1500,0,300
1600,0,300
1700,0,300
1800,0,300
1900,0,300
2000,0,300
2100,0,300
2200,0,300
2300,0,300
2400,0,300
2500,0,300
2600,0,300
2700,0,300
2800,0,300
2900,0,300
3000,0,300
3100,0,300
3200,0,300
3300,0,300
3400,0,300
3500,0,300
3600,0,300
3700,0,300
3800,0,300
3900,0,300
4000,0,300
4100,0,300
4200,0,300
4300,0,300
4400,0,300
4500,0,300
4600,0,300
4700,0,300
4800,0,300
4900,0,300
5000,0,300
5100,0,300
5200,0,300
5300,0,300
5400,0,300
5500,0,300
5600,0,300
5700,0,300
5800,0,300
5900,0,300
6000,0,300
6100,0,300
6200,0,300
6300,0,300
6400,0,300
6500,0,300
6600,0,300
6700,0,300
6800,0,300
6900,0,300
7000,0,300
7100,0,300
7200,0,300
7300,0,300
7400,0,300
7500,0,300
7600,0,300
7700,0,300
7800,0,300
7900,0,300
8000,0,300
8100,0,300
8200,0,300
8300,0,300
8400,0,300
8500,0,300
8600,0,300
8700,0,300
8800,0,300
8900,0,300
9000,0,300
9100,0,300
9200,0,300
9300,0,300
9400,0,300
9500,0,300
9600,0,300
9700,0,300
9800,0,300
9900,0,300
10000,0,300
10100,0,300
10200,0,300
10300,0,300
10400,0,300
10500,0,300
10600,0,300
10700,0,300
10800,0,300
10900,0,300
11000,0,300
11100,0,300
11200,0,300
11300,0,300
11400,0,300
11500,0,300
11600,0,300
11700,0,300
11800,0,300
11900,0,300
12000,0,300
12100,0,300
12200,0,300
12300,0,300
12400,0,300
12500,0,300
12600,0,300
12700,0,300
12800,0,300
12900,0,300
13000,0,300
13100,0,300
13200,0,300
13300,0,300
13400,0,300
13500,0,300
13600,0,300
13700,0,300
13800,0,300
13900,0,300
14000,0,300
14100,0,300
14200,0,300
14300,0,300
14400,0,300
14500,0,300
14600,0,300
14700,0,300
14800,0,300
14900,0,300
15000,0,300
15100,0,300
15200,0,300
15300,0,300
15400,0,300
15500,0,300
15600,0,300
15700,0,300
15800,0,300
15900,0,300
16000,0,300
16100,0,300
16200,0,300
16300,0,300
16400,0,300
16500,0,300
16600,0,300
16700,0,300
